,moviename,director,leadactors,screenwriter,picture,averating,numrating,description,typelist,backpost,movieId,title,genres,showyear,ratings_count,backpost-origin
10,Four Rooms,"Allison Anders,Alexandre Rockwell,Robert Rodriguez,Quentin Tarantino","Tim Roth,Antonio Banderas,Jennifer Beals,Madonna,Marisa Tomei,Bruce Willis,Quentin Tarantino,Sammi Davis,Amanda de Cadenet,Valeria Golino,Lili Taylor,Lawrence Bender,Ione Skye,Alicia Witt,David Proval,Lana McKissack,Tamlyn Tomita,Kathy Griffin,Paul Calderon,Salma Hayek,Patricia Vonne,Danny Verduzco,Kimberly Blair,Marc Lawrence",,http://image.tmdb.org/t/p/w185/eQs5hh9rxrk1m4xHsIz1w11Ngqb.jpg,3.4,6193.0,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,"Crime,Comedy",http://106.12.12.171/3EqYpbGCE9S5GddU2K4cYzP5UmI.jpg,18,Four Rooms (1995),Comedy,1995-12-09,6012,http://image.tmdb.org/t/p/w780/3EqYpbGCE9S5GddU2K4cYzP5UmI.jpg
11,Ace Ventura: When Nature Calls,Steve Oedekerk,"Jim Carrey,Ian McNeice,Simon Callow,Maynard Eziashi,Bob Gunton,Sophie Okonedo,Tommy Davidson,Adewale Akinnuoye-Agbaje,Danny D. Daniels,Sam Motoana Phillips,Damon Standifer,Andrew Steel,Bruce Spence,Tom Grunke,Arsenio 'Sonny' Trinidad",,http://image.tmdb.org/t/p/w185/wRlGnJhEzcxBjvWtvbjhDSU1cIY.jpg,2.6,24639.0,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.","Crime,Comedy,Adventure",http://106.12.12.171/zM8D3dSzxISwLilMKzLuzaU3O9j.jpg,19,Ace Ventura: When Nature Calls (1995),Comedy,1995-11-10,24141,http://image.tmdb.org/t/p/w780/zM8D3dSzxISwLilMKzLuzaU3O9j.jpg
12,Money Train,Joseph Ruben,"Wesley Snipes,Woody Harrelson,Jennifer Lopez,Robert Blake,Chris Cooper,Joe Grifasi,Scott Sowers,Skipp Sudduth,Aida Turturro,Vincent Pastore,Enrico Colantoni,Bill Nunn,Katie Gill,Jeremy Roberts,Joe Bacino",,http://image.tmdb.org/t/p/w185/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg,2.9,4642.0,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.","Action,Comedy,Crime",http://106.12.12.171/dBavxNhbNZ8uJU9avHrqCCEKuii.jpg,20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1995-11-21,4422,http://image.tmdb.org/t/p/w780/dBavxNhbNZ8uJU9avHrqCCEKuii.jpg
13,Get Shorty,Barry Sonnenfeld,"John Travolta,Gene Hackman,Rene Russo,Danny DeVito,Dennis Farina,Delroy Lindo,James Gandolfini,Jon Gries,Renee Props,David Paymer,Martin Ferrero,Miguel Sandoval,Jacob Vargas,Bobby Slayton,Linda Hart,Jeffrey J. Stephen",,http://image.tmdb.org/t/p/w185/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg,3.6,25619.0,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.","Comedy,Thriller,Crime",http://106.12.12.171/g1BfxcnplYEveGqS1ttfhdRBgbR.jpg,21,Get Shorty (1995),Comedy|Crime|Thriller,1995-10-20,25218,http://image.tmdb.org/t/p/w780/g1BfxcnplYEveGqS1ttfhdRBgbR.jpg
14,Copycat,Jon Amiel,"Sigourney Weaver,Holly Hunter,Will Patton,William McNamara,Harry Connick Jr.,J.E. Freeman,Dermot Mulroney,John Rothman,Shannon O'Hurley,Bob Greene,Tony Haney,Danny Kovacs,Tahmus Rounds,Scott Devenney,David Michael Silverman",,http://image.tmdb.org/t/p/w185/80czeJGSoik22fhtUM9WzyjUU4r.jpg,3.3,11085.0,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,"Drama,Thriller",http://106.12.12.171/gE1DHa82NZVb9B2Lx2cLNz43Iwd.jpg,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1995-10-27,10767,http://image.tmdb.org/t/p/w780/gE1DHa82NZVb9B2Lx2cLNz43Iwd.jpg
15,Assassins,Richard Donner,"Sylvester Stallone,Antonio Banderas,Julianne Moore,Anatoli Davydov,Muse Watson,Steve Kahan,Kelly Rowan,Reed Diamond,Kai Wulff,Kerry Skalsky,James Douglas Haskins,Stephen Liska,John Harms,Edward J. Rosen,Christina Orchid,Choco Orta,Germán Legarreta",,http://image.tmdb.org/t/p/w185/xAx5MP7Dg4y85pyS7atX6eWk4Qd.jpg,3.2,4839.0,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.","Action,Adventure,Crime,Thriller",http://106.12.12.171/uDnwgH9sFgTST9M06Y1TkBpRTDF.jpg,23,Assassins (1995),Action|Crime|Thriller,1995-10-06,4681,http://image.tmdb.org/t/p/w780/uDnwgH9sFgTST9M06Y1TkBpRTDF.jpg
16,Powder,Victor Salva,"Mary Steenburgen,Sean Patrick Flanery,Lance Henriksen,Jeff Goldblum,Brandon Smith",,http://image.tmdb.org/t/p/w185/1uRKsxOCtgz0xVqs9l4hYtp4dFm.jpg,3.2,9175.0,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.","Drama,Fantasy,Science Fiction,Thriller",http://106.12.12.171/rJ5SMe5OkLG0PMETSVjrTX3bsmc.jpg,24,Powder (1995),Drama|Sci-Fi,1995-10-27,8829,http://image.tmdb.org/t/p/w780/rJ5SMe5OkLG0PMETSVjrTX3bsmc.jpg
17,Leaving Las Vegas,Mike Figgis,"Nicolas Cage,Elisabeth Shue,Julian Sands,Richard Lewis,Steven Weber,Kim Adams,Emily Procter,Stuart Reynolds ,Valeria Golino,Graham Beckel,Mariska Hargitay,Laurie Metcalf,Shawnee Smith,David Kriegel",,http://image.tmdb.org/t/p/w185/37qHRJxnSh5YkuaN9FgfNnMl3Tj.jpg,3.7,24741.0,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.","Drama,Romance",http://106.12.12.171/2gJDuPxrZBns5ab47HQbyU2l6Im.jpg,25,Leaving Las Vegas (1995),Drama|Romance,1995-10-27,22913,http://image.tmdb.org/t/p/w780/2gJDuPxrZBns5ab47HQbyU2l6Im.jpg
18,Dangerous Minds,John N. Smith,"Michelle Pfeiffer,George Dzundza,Courtney B. Vance,Robin Bartlett,John Neville,Beatrice Winde,Lorraine Toussaint,Renoly Santiago,Wade Dominguez,Bruklin Harris,Mercello Thedford,Roberto Alvarez,Richard Grant,Marisela Gonzales,Toni Nichelle Buzhardt",,http://image.tmdb.org/t/p/w185/y5Jee3QmYOlpqfaPPbfvtdVc5wj.jpg,3.2,11740.0,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.","Drama,Crime",http://106.12.12.171/ah39cSwqSgloyIhl6wuMk4bOhbN.jpg,31,Dangerous Minds (1995),Drama,1995-08-11,11067,http://image.tmdb.org/t/p/w780/ah39cSwqSgloyIhl6wuMk4bOhbN.jpg
19,Babe,Chris Noonan,"Christine Cavanaugh,Miriam Margolyes,Danny Mann,Hugo Weaving,Miriam Flynn,James Cromwell,Russi Taylor,Evelyn Krape,Michael Edward-Stevens,Charles Bartlett,Paul Livingston,Roscoe Lee Browne,Magda Szubanski,Zoe Burton,Paul Goddard,Wade Hayward,Brittany Byrnes,Mary Acres",,http://image.tmdb.org/t/p/w185/gN6X3fwPya8pLffk9OEWV3DqBnE.jpg,3.6,35633.0,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.","Fantasy,Drama,Comedy,Family",http://106.12.12.171/67jzzA7YqDTR5qIUhAH32cvkf53.jpg,34,Babe (1995),Children|Drama,1995-07-18,35327,http://image.tmdb.org/t/p/w780/67jzzA7YqDTR5qIUhAH32cvkf53.jpg
20,Dead Man Walking,Tim Robbins,"Susan Sarandon,Sean Penn,Robert Prosky,Raymond J. Barry,R. Lee Ermey,Celia Weston,Lois Smith,Scott Wilson,Roberta Maxwell,Margo Martindale,Jack Black,Ray Aranha,Peter Sarsgaard,Barton Heyman,Steve Boles,Nesbitt Blaisdell,Larry Pine,Kevin Cooney,Clancy Brown,Michael Cullen,Missy Yager,Jenny Krochmal,Jon Abrahams,Arthur Bridgers,Steve Carlisle,Eva Amurri Martino,Jack Henry Robbins,Dennis Neal,Molly Bryant,Adele Robbins,Pete Burris,Joan Glover,Lenore Banks,Scott Sowers,Cortez Nance Jr.,Adam Nelson,Jeremy Knaster,Marcus Lyle Brown,Anthony Michael Frederick,Thomas McGowan,Codie Scott,Helen Prejean",,http://image.tmdb.org/t/p/w185/y19uRkAHXOHLeySuBVMqnvVnsrA.jpg,3.9,23872.0,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.,Drama,http://106.12.12.171/f6WMgACY6VQnGpz9L4eQ3hkfcJE.jpg,36,Dead Man Walking (1995),Crime|Drama,1995-12-29,22285,http://image.tmdb.org/t/p/w780/f6WMgACY6VQnGpz9L4eQ3hkfcJE.jpg
21,Clueless,Amy Heckerling,"Alicia Silverstone,Stacey Dash,Brittany Murphy,Paul Rudd,Donald Faison,Elisa Donovan,Breckin Meyer,Jeremy Sisto,Dan Hedaya,Wallace Shawn,Twink Caplan,Justin Walker,Julie Brown,Nicole Bilderback",,http://image.tmdb.org/t/p/w185/i8gEHh2sszB6YWLC0jl559sxAeN.jpg,3.4,29124.0,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.","Comedy,Drama,Romance",http://106.12.12.171/kcjy02lvDIvqQsce0NSnDAr4zve.jpg,39,Clueless (1995),Comedy|Romance,1995-07-19,29182,http://image.tmdb.org/t/p/w780/kcjy02lvDIvqQsce0NSnDAr4zve.jpg
22,Richard III,Richard Loncraine,"Ian McKellen,Annette Bening,Jim Broadbent,Kristin Scott Thomas,Adrian Dunbar,Maggie Smith,Tim McInnerny,Robert Downey Jr.,Edward Hardwicke,Nigel Hawthorne,Jim Carter,Dominic West,John Wood,Roger Hammond,Bill Paterson,Donald Sumpter,James Dreyfus,Derek Lyons",,http://image.tmdb.org/t/p/w185/e8nuS9GQoSFaqld4hW5erk2ccag.jpg,3.8,5078.0,Shakespeare's Play transplanted into a 1930s setting.,"Drama,War",http://106.12.12.171/uCGFpcWrZSoSOJyzH5ag5m4svf5.jpg,41,Richard III (1995),Drama|War,1995-12-29,4856,http://image.tmdb.org/t/p/w780/uCGFpcWrZSoSOJyzH5ag5m4svf5.jpg
23,Mortal Kombat,Paul W.S. Anderson,"Christopher Lambert,Robin Shou,Linden Ashby,Cary-Hiroyuki Tagawa,Bridgette Wilson,Talisa Soto,Trevor Goddard,Chris Casamassa,François Petit,Keith Cooke,Ed Boon",,http://image.tmdb.org/t/p/w185/bdXWixjWVA7Y03PvW74xufrROiJ.jpg,2.6,12995.0,"For nine generations an evil sorcerer has been victorious in hand-to-hand battle against his mortal enemies. If he wins a tenth Mortal Kombat tournament, desolation and evil will reign over the multiverse forever. To save Earth, three warriors must overcome seemingly insurmountable odds, their own inner demons, and superhuman foes in this action/adventure movie based on one of the most popular video games of all time.","Action,Fantasy",http://106.12.12.171/ocpr7wq4tG47qYRplaPtV1fJmFe.jpg,44,Mortal Kombat (1995),Action|Adventure|Fantasy,1995-08-18,12431,http://image.tmdb.org/t/p/w780/ocpr7wq4tG47qYRplaPtV1fJmFe.jpg
24,To Die For,Gus Van Sant,"Nicole Kidman,Matt Dillon,Joaquin Phoenix,Casey Affleck,Illeana Douglas,Alison Folland,Dan Hedaya,Wayne Knight,David Cronenberg,Kurtwood Smith,Holland Taylor,Susan Traylor,Maria Tucci,Tim Hopper",,http://image.tmdb.org/t/p/w185/zCREx8trzejNieDLUsRuwLU0cS3.jpg,3.4,9685.0,"Suzanne Stone (Maretto) wants to be a world-famous news anchor and she is willing to do anything to get what she wants. What she lacks in intelligence, she makes up for in cold determination and diabolical wiles. As she pursues her goal with relentless focus, she is forced to destroy anything and anyone that may stand in her way, regardless of the ultimate cost or means necessary.","Fantasy,Drama,Comedy,Thriller",http://106.12.12.171/wf623jhpDlcJJ7WJWkfWptii7r0.jpg,45,To Die For (1995),Comedy|Drama|Thriller,1995-05-20,9507,http://image.tmdb.org/t/p/w780/wf623jhpDlcJJ7WJWkfWptii7r0.jpg
25,Pocahontas,"Mike Gabriel,Eric Goldberg","Irene Bedard,Mel Gibson,David Ogden Stiers,John Kassir,Russell Means,Christian Bale,Judy Kuhn,Linda Hunt,Danny Mann,Billy Connolly,Joe Baker,Frank Welker,Michelle St. John,James Apaumut Fall,Gordon Tootoosis,Jim Cummings",,http://image.tmdb.org/t/p/w185/qk95miOV8wDABbO5gyCpCrvbVFu.jpg,3.0,16180.0,"History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.","Adventure,Animation,Drama,Family",http://106.12.12.171/tJ5vf5rzSL5NarZLijSVdKTYm8O.jpg,48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,1995-06-14,15658,http://image.tmdb.org/t/p/w780/tJ5vf5rzSL5NarZLijSVdKTYm8O.jpg
26,Mighty Aphrodite,Woody Allen,"Woody Allen,Mira Sorvino,Helena Bonham Carter,F. Murray Abraham,Donald Symington,Claire Bloom,Olympia Dukakis,Michael Rapaport,David Ogden Stiers,Jack Warden,Peter Weller,Danielle Ferland",,http://image.tmdb.org/t/p/w185/m0MZabFBNtMuFn3oNcq45M1Jws3.jpg,3.5,10366.0,"When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.","Comedy,Romance",http://106.12.12.171/lwz4r7KS3HbISTa2NplJY5dpBRw.jpg,52,Mighty Aphrodite (1995),Comedy|Drama|Romance,1995-09-13,9812,http://image.tmdb.org/t/p/w780/lwz4r7KS3HbISTa2NplJY5dpBRw.jpg
27,Mr. Holland's Opus,Stephen Herek,"Richard Dreyfuss,Glenne Headly,Jay Thomas,Olympia Dukakis,William H. Macy,Alicia Witt,Nicholas John Renner,Joseph Anderson,Anthony Natale,Jean Louisa Kelly,Terrence Howard,Damon Whitaker,Alexandra Boyd,Joanna Gleason,Beth Maitland,Joshua Minnick",,http://image.tmdb.org/t/p/w185/jYEKdpVvRV3KdyHMUVYyg0KTVSY.jpg,3.7,23259.0,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.","Music,Drama,Family",http://106.12.12.171/dSzM2GF3pSttyxAv4pi1xxFWQ9w.jpg,62,Mr. Holland's Opus (1995),Drama,1995-12-29,21081,http://image.tmdb.org/t/p/w780/dSzM2GF3pSttyxAv4pi1xxFWQ9w.jpg
